"gp_c","gp_Ea","gp_Eh","gp_Th","r_c","r_Ea","r_Eh","r_Th"
0.231003195320439,0.722323883,5.34652637,309.9264336,0.0677132271006015,1.431445867,2.07431854,306.357725708
0.143049116452403,0.6737641904,3.85195586,305.47861196,0.0389245559174095,1.348806606,1.33750902,302.0936273
0.107944108683865,0.831421124,4.79702725,306.67895509,0.0181907266586678,1.311966924,2.518207153,306.45471443
0.161371824464193,0.822445759,13.49557745,307.51983551,0.0545172823631602,1.0542962535,3.519373976,306.84520401
0.0640234843474917,0.931472807,4.01160808,304.92511732,0.0368950851711656,0.946647823,2.56859721,313.03547934
0.135700544991471,0.583291075,5.65727576,305.72747387,0.0280863575192531,1.348009119,1.70536353,301.02752936
0.231688456424467,0.7118770929,9.4642746,310.61919077,0.0869456854899592,0.788812453,2.39831396,311.17640906
0.32410893842356,0.813369602,4.420533217,304.7049073,0.159762840697777,1.036330543,2.581629372,307.930178257
0.32233768234749,0.923211856,6.51250503,306.52496148,0.067948639544879,1.2226156145,2.37451385,306.15441757
0.508308994208807,0.715615871,2.94813079,303.20316089,0.36212184333125,0.590701507,1.89376719,308.84473752
0.0409093428696181,0.6799319223,4.4662331,309.44923554,0.016309075613712,0.85716546,2.26226939,305.7496448161
0.0370723329559565,0.760455681,5.3822662,300.10540275,0.0146200484604169,1.0750056375,3.08901328,301.1203358744
0.127730389312367,0.655608433,5.93222142,307.71982622,0.0189174349124782,1.143185831,4.34026246,308.574937528
0.599649230832081,0.929034131,8.9154569,303.409029,0.153273379176545,1.015347957,2.66628533,307.09057498
0.273256899902504,0.553896119,1.3872036,311.48919745,0.135989529252564,0.757468975,2.18577046,311.045491578
0.0720846744445666,0.806840006,6.24829287,307.491866302,0.00693035902335731,1.417381417,3.013890285,307.06444168
0.10460896652384,0.652378799,8.31244246,311.180147752,0.0122326843182643,1.1640255687,3.10306677,310.887860139
0.213458463882543,0.7908579162,7.4963293,303.2797251,0.0900651265510162,1.0846957897,2.39212256,308.3517958648
0.109183240688297,0.863216323,5.40090164,307.88932239,0.0248540860844221,1.312399683,3.991451048,307.455060646
